Arhitektura računalniških sistemov,63212,6
Fizika,63205,6
Osnove digitalnih vezij,63204,6
Diskretne strukture,63203,6
Računalniške komunikacije,63209,6
Osnove matematične analize,63202,6
Linearna algebra,63207,6
Programiranje 1,63277,6
Programiranje 2,63278,6
Osnove informacijskih sistemov,63215,6
Teorija informacij in sistemov,63216,6
Izračunljivost in računska zahtevnost,63283,6
Operacijski sistemi,63217,6
Osnove podatkovnih baz,63208,6
Algoritmi in podatkovne strukture 1,63279,6
Algoritmi in podatkovne strukture 2,63280,6
Verjetnost in statistika,63213,6
Organizacija računalniških sistemov,63218,6
Tehnologija programske opreme,63256,6
Osnove umetne inteligence,63214,6
Diplomski seminar,63281,6
Organizacija in management,63250,6
Uvod v odkrivanje znanj iz podatkov,63251,6
Elektronsko poslovanje,63249,6
Planiranje in upravljanje informatike,63253,6
Razvoj informacijskih sistemov,63252,6
Tehnologija upravljanja podatkov,63226,6
Postopki razvoja programske opreme,63254,6
Spletno programiranje,63255,6
Programiranje specifičnih platform,63287,6
Modeliranje računalniških omrežij,63257,6
Komunikacijski protokoli,63258,6
Brezžična in mobilna omrežja,63259,6
Digitalno načrtovanje,63260,6
Porazdeljeni sistemi,63261,6
Zanesljivost in zmogljivost računalniških sistemov,63262,6
Analiza algoritmov in hevristično reševanje problemov,63263,6
Sistemska programska oprema,63264,6
Prevajalniki,63265,6
Inteligentni sistemi,63266,6
Umetno zaznavanje,63267,6
Razvoj inteligentnih sistemov,63268,6
Računalniška grafika in tehnologija iger,63269,6
Multimedijski sistemi,63270,6
Osnove oblikovanja,63271,6
Angleški jezik nivo A,63222,3
Angleški jezik nivo B,63223,3
Angleški jezik nivo C,63224,3
Izbrana poglavja iz računalništva in informatike,63225,6
Računalništvo v praksi 1,63241,3
Računalništvo v praksi 2,63242,3
Tehnične veščine,63284,3
Ekonomika in podjetništvo,63248,6
Matematično modeliranje,63219,6
Principi programskih jezikov,63220,6
Računalniške tehnologije ,63221,6
Uvod v računalništvo,63701,6
Programiranje 1,63702,6
Računalniška arhitektura,63703,6
Matematika,63704,6
Diskretne strukture,63705,6
Programiranje 2,63706,6
Računalniške komunikacije,63707,6
Programiranje 1,63708,6
Operacijski sistemi,63709,6
Osnove verjetnosti in statistike,63710,6
